state,county,candidate,party,total_votes,won
Florida,Pasco County,Rocky De La Fuente,ALI,200,FALSE
Florida,Pasco County,Gloria La Riva,PSL,169,FALSE
Florida,Pasco County,Don Blankenship,CST,142,FALSE
Florida,Pasco County, Write-ins,WRI,33,FALSE
Florida,Pinellas County,Joe Biden,DEM,277450,TRUE
Florida,Pinellas County,Donald Trump,REP,276209,FALSE
Florida,Pinellas County,Jo Jorgensen,LIB,4268,FALSE
Florida,Pinellas County,Howie Hawkins,GRN,912,FALSE
Florida,Pinellas County,Gloria La Riva,PSL,311,FALSE
Florida,Pinellas County,Rocky De La Fuente,ALI,305,FALSE
Florida,Pinellas County,Don Blankenship,CST,199,FALSE
Florida,Pinellas County, Write-ins,WRI,61,FALSE
Florida,Polk County,Donald Trump,REP,194586,TRUE
Florida,Polk County,Joe Biden,DEM,145049,FALSE
Florida,Polk County,Jo Jorgensen,LIB,2595,FALSE
Florida,Polk County,Howie Hawkins,GRN,425,FALSE
Florida,Polk County,Gloria La Riva,PSL,217,FALSE
Florida,Polk County,Rocky De La Fuente,ALI,204,FALSE
Florida,Polk County,Don Blankenship,CST,140,FALSE
Florida,Polk County, Write-ins,WRI,40,FALSE
Florida,Putnam County,Donald Trump,REP,25514,TRUE
Florida,Putnam County,Joe Biden,DEM,10527,FALSE
Florida,Putnam County,Jo Jorgensen,LIB,226,FALSE
Florida,Putnam County,Howie Hawkins,GRN,50,FALSE
Florida,Putnam County,Gloria La Riva,PSL,21,FALSE
Florida,Putnam County,Don Blankenship,CST,20,FALSE
Florida,Putnam County,Rocky De La Fuente,ALI,14,FALSE
Florida,Putnam County, Write-ins,WRI,1,FALSE
Florida,St. Johns County,Donald Trump,REP,110946,TRUE
Florida,St. Johns County,Joe Biden,DEM,63850,FALSE
Florida,St. Johns County,Jo Jorgensen,LIB,1413,FALSE
Florida,St. Johns County,Howie Hawkins,GRN,210,FALSE
Florida,St. Johns County,Rocky De La Fuente,ALI,101,FALSE
Florida,St. Johns County,Gloria La Riva,PSL,54,FALSE
Florida,St. Johns County,Don Blankenship,CST,44,FALSE
Florida,St. Johns County, Write-ins,WRI,4,FALSE
Florida,St. Lucie County,Donald Trump,REP,86831,TRUE
Florida,St. Lucie County,Joe Biden,DEM,84137,FALSE
Florida,St. Lucie County,Jo Jorgensen,LIB,768,FALSE
Florida,St. Lucie County,Howie Hawkins,GRN,209,FALSE
Florida,St. Lucie County,Gloria La Riva,PSL,82,FALSE
Florida,St. Lucie County,Rocky De La Fuente,ALI,71,FALSE
Florida,St. Lucie County,Don Blankenship,CST,61,FALSE
Florida,St. Lucie County, Write-ins,WRI,10,FALSE
Florida,Santa Rosa County,Donald Trump,REP,77385,TRUE
Florida,Santa Rosa County,Joe Biden,DEM,27612,FALSE
Florida,Santa Rosa County,Jo Jorgensen,LIB,1645,FALSE
Florida,Santa Rosa County,Howie Hawkins,GRN,122,FALSE
Florida,Santa Rosa County,Rocky De La Fuente,ALI,60,FALSE
Florida,Santa Rosa County,Don Blankenship,CST,55,FALSE
Florida,Santa Rosa County,Gloria La Riva,PSL,46,FALSE
Florida,Santa Rosa County, Write-ins,WRI,3,FALSE
Florida,Sarasota County,Donald Trump,REP,148370,TRUE
Florida,Sarasota County,Joe Biden,DEM,120110,FALSE
Florida,Sarasota County,Jo Jorgensen,LIB,1507,FALSE
Florida,Sarasota County,Howie Hawkins,GRN,284,FALSE
Florida,Sarasota County,Gloria La Riva,PSL,105,FALSE
Florida,Sarasota County,Rocky De La Fuente,ALI,102,FALSE
Florida,Sarasota County,Don Blankenship,CST,70,FALSE
Florida,Sarasota County, Write-ins,WRI,27,FALSE
Florida,Seminole County,Joe Biden,DEM,132528,TRUE
Florida,Seminole County,Donald Trump,REP,125241,FALSE
Florida,Seminole County,Jo Jorgensen,LIB,2215,FALSE
Florida,Seminole County,Howie Hawkins,GRN,406,FALSE
Florida,Seminole County,Gloria La Riva,PSL,137,FALSE
Florida,Seminole County,Rocky De La Fuente,ALI,135,FALSE
Florida,Seminole County,Don Blankenship,CST,103,FALSE
Florida,Seminole County, Write-ins,WRI,50,FALSE
Florida,Sumter County,Donald Trump,REP,62761,TRUE
Florida,Sumter County,Joe Biden,DEM,29341,FALSE
Florida,Sumter County,Jo Jorgensen,LIB,269,FALSE
Florida,Sumter County,Howie Hawkins,GRN,39,FALSE
Florida,Sumter County,Don Blankenship,CST,29,FALSE
Florida,Sumter County,Rocky De La Fuente,ALI,25,FALSE
Florida,Sumter County,Gloria La Riva,PSL,20,FALSE
Florida,Sumter County, Write-ins,WRI,1,FALSE
Florida,Suwannee County,Donald Trump,REP,16410,TRUE
Florida,Suwannee County,Joe Biden,DEM,4485,FALSE
Florida,Suwannee County,Jo Jorgensen,LIB,119,FALSE
Florida,Suwannee County,Howie Hawkins,GRN,23,FALSE
Florida,Suwannee County,Gloria La Riva,PSL,8,FALSE
Florida,Suwannee County,Don Blankenship,CST,6,FALSE
Florida,Suwannee County,Rocky De La Fuente,ALI,6,FALSE
Florida,Taylor County,Donald Trump,REP,7751,TRUE
Florida,Taylor County,Joe Biden,DEM,2299,FALSE
Florida,Taylor County,Jo Jorgensen,LIB,52,FALSE
Florida,Taylor County,Howie Hawkins,GRN,11,FALSE
Florida,Taylor County,Gloria La Riva,PSL,6,FALSE
Florida,Taylor County,Don Blankenship,CST,3,FALSE
Florida,Taylor County,Rocky De La Fuente,ALI,3,FALSE
Florida,Taylor County, Write-ins,WRI,2,FALSE
Florida,Union County,Donald Trump,REP,5133,TRUE
Florida,Union County,Joe Biden,DEM,1053,FALSE
Florida,Union County,Jo Jorgensen,LIB,42,FALSE
Florida,Union County,Don Blankenship,CST,5,FALSE
Florida,Union County,Howie Hawkins,GRN,5,FALSE
Florida,Union County,Rocky De La Fuente,ALI,4,FALSE
Florida,Union County,Gloria La Riva,PSL,3,FALSE
Florida,Union County, Write-ins,WRI,0,FALSE
Florida,Volusia County,Donald Trump,REP,173821,TRUE
Florida,Volusia County,Joe Biden,DEM,130575,FALSE
Florida,Volusia County,Jo Jorgensen,LIB,2156,FALSE
Florida,Volusia County,Howie Hawkins,GRN,390,FALSE
Florida,Volusia County,Gloria La Riva,PSL,173,FALSE
Florida,Volusia County,Rocky De La Fuente,ALI,160,FALSE
Florida,Volusia County,Don Blankenship,CST,141,FALSE
Florida,Volusia County, Write-ins,WRI,23,FALSE
Florida,Wakulla County,Donald Trump,REP,12874,TRUE
Florida,Wakulla County,Joe Biden,DEM,5351,FALSE
Florida,Wakulla County,Jo Jorgensen,LIB,135,FALSE
Florida,Wakulla County,Howie Hawkins,GRN,18,FALSE
Florida,Wakulla County,Don Blankenship,CST,10,FALSE
Florida,Wakulla County,Rocky De La Fuente,ALI,10,FALSE
Florida,Wakulla County,Gloria La Riva,PSL,6,FALSE
Florida,Walton County,Donald Trump,REP,32947,TRUE
Florida,Walton County,Joe Biden,DEM,10338,FALSE
Florida,Walton County,Jo Jorgensen,LIB,336,FALSE
Florida,Walton County,Howie Hawkins,GRN,43,FALSE
Florida,Walton County,Rocky De La Fuente,ALI,16,FALSE
Florida,Walton County,Gloria La Riva,PSL,15,FALSE
Florida,Walton County,Don Blankenship,CST,13,FALSE
Florida,Walton County, Write-ins,WRI,3,FALSE
Florida,Washington County,Donald Trump,REP,9876,TRUE
Florida,Washington County,Joe Biden,DEM,2347,FALSE
Florida,Washington County,Jo Jorgensen,LIB,69,FALSE
Florida,Washington County,Howie Hawkins,GRN,15,FALSE
Florida,Washington County,Gloria La Riva,PSL,10,FALSE
Florida,Washington County,Don Blankenship,CST,5,FALSE
Florida,Washington County,Rocky De La Fuente,ALI,5,FALSE
Georgia,Appling County,Donald Trump,REP,6570,TRUE
Georgia,Appling County,Joe Biden,DEM,1784,FALSE
Georgia,Appling County,Jo Jorgensen,LIB,36,FALSE
Georgia,Appling County, Write-ins,WRI,0,FALSE
Georgia,Atkinson County,Donald Trump,REP,2300,TRUE
Georgia,Atkinson County,Joe Biden,DEM,825,FALSE
Georgia,Atkinson County,Jo Jorgensen,LIB,30,FALSE
Georgia,Atkinson County, Write-ins,WRI,0,FALSE
Georgia,Bacon County,Donald Trump,REP,4017,TRUE
Georgia,Bacon County,Joe Biden,DEM,625,FALSE
Georgia,Bacon County,Jo Jorgensen,LIB,25,FALSE
Georgia,Bacon County, Write-ins,WRI,0,FALSE
Georgia,Baker County,Donald Trump,REP,897,TRUE
Georgia,Baker County,Joe Biden,DEM,652,FALSE
Georgia,Baker County,Jo Jorgensen,LIB,6,FALSE
Georgia,Baker County, Write-ins,WRI,0,FALSE
Georgia,Baldwin County,Joe Biden,DEM,9140,TRUE
Georgia,Baldwin County,Donald Trump,REP,8903,FALSE
Georgia,Baldwin County,Jo Jorgensen,LIB,208,FALSE
Georgia,Baldwin County, Write-ins,WRI,0,FALSE
Georgia,Banks County,Donald Trump,REP,7795,TRUE
Georgia,Banks County,Joe Biden,DEM,932,FALSE
Georgia,Banks County,Jo Jorgensen,LIB,74,FALSE
Georgia,Banks County, Write-ins,WRI,0,FALSE
Georgia,Barrow County,Donald Trump,REP,26804,TRUE
Georgia,Barrow County,Joe Biden,DEM,10453,FALSE
Georgia,Barrow County,Jo Jorgensen,LIB,664,FALSE
Georgia,Barrow County, Write-ins,WRI,0,FALSE
Georgia,Bartow County,Donald Trump,REP,37672,TRUE
Georgia,Bartow County,Joe Biden,DEM,12091,FALSE
Georgia,Bartow County,Jo Jorgensen,LIB,701,FALSE
Georgia,Bartow County, Write-ins,WRI,0,FALSE
Georgia,Ben Hill County,Donald Trump,REP,4111,TRUE
Georgia,Ben Hill County,Joe Biden,DEM,2393,FALSE
Georgia,Ben Hill County,Jo Jorgensen,LIB,60,FALSE
Georgia,Ben Hill County, Write-ins,WRI,0,FALSE
Georgia,Berrien County,Donald Trump,REP,6419,TRUE
Georgia,Berrien County,Joe Biden,DEM,1269,FALSE
Georgia,Berrien County,Jo Jorgensen,LIB,55,FALSE
Georgia,Berrien County, Write-ins,WRI,0,FALSE
Georgia,Bibb County,Joe Biden,DEM,43408,TRUE
Georgia,Bibb County,Donald Trump,REP,26559,FALSE
Georgia,Bibb County,Jo Jorgensen,LIB,747,FALSE
Georgia,Bibb County, Write-ins,WRI,0,FALSE
Georgia,Bleckley County,Donald Trump,REP,4329,TRUE
Georgia,Bleckley County,Joe Biden,DEM,1312,FALSE
Georgia,Bleckley County,Jo Jorgensen,LIB,67,FALSE
Georgia,Bleckley County, Write-ins,WRI,0,FALSE
Georgia,Brantley County,Donald Trump,REP,6993,TRUE
Georgia,Brantley County,Joe Biden,DEM,700,FALSE
Georgia,Brantley County,Jo Jorgensen,LIB,56,FALSE
Georgia,Brantley County, Write-ins,WRI,0,FALSE
Georgia,Brooks County,Donald Trump,REP,4261,TRUE
Georgia,Brooks County,Joe Biden,DEM,2791,FALSE
Georgia,Brooks County,Jo Jorgensen,LIB,49,FALSE
Georgia,Brooks County, Write-ins,WRI,0,FALSE
Georgia,Bryan County,Donald Trump,REP,14240,TRUE
Georgia,Bryan County,Joe Biden,DEM,6738,FALSE
Georgia,Bryan County,Jo Jorgensen,LIB,357,FALSE
Georgia,Bryan County, Write-ins,WRI,0,FALSE
Georgia,Bulloch County,Donald Trump,REP,18387,TRUE
Georgia,Bulloch County,Joe Biden,DEM,11248,FALSE
Georgia,Bulloch County,Jo Jorgensen,LIB,455,FALSE
Georgia,Bulloch County, Write-ins,WRI,0,FALSE
Georgia,Burke County,Donald Trump,REP,5400,TRUE
Georgia,Burke County,Joe Biden,DEM,5208,FALSE
Georgia,Burke County,Jo Jorgensen,LIB,75,FALSE
Georgia,Burke County, Write-ins,WRI,0,FALSE
Georgia,Butts County,Donald Trump,REP,8406,TRUE
Georgia,Butts County,Joe Biden,DEM,3274,FALSE
Georgia,Butts County,Jo Jorgensen,LIB,91,FALSE
Georgia,Butts County, Write-ins,WRI,0,FALSE
Georgia,Calhoun County,Joe Biden,DEM,1263,TRUE
Georgia,Calhoun County,Donald Trump,REP,923,FALSE
Georgia,Calhoun County,Jo Jorgensen,LIB,12,FALSE
Georgia,Calhoun County, Write-ins,WRI,0,FALSE
Georgia,Camden County,Donald Trump,REP,15249,TRUE
Georgia,Camden County,Joe Biden,DEM,7967,FALSE
Georgia,Camden County,Jo Jorgensen,LIB,470,FALSE
Georgia,Camden County, Write-ins,WRI,0,FALSE
Georgia,Candler County,Donald Trump,REP,3133,TRUE
Georgia,Candler County,Joe Biden,DEM,1269,FALSE
Georgia,Candler County,Jo Jorgensen,LIB,29,FALSE
Georgia,Candler County, Write-ins,WRI,0,FALSE
Georgia,Carroll County,Donald Trump,REP,37476,TRUE
Georgia,Carroll County,Joe Biden,DEM,16236,FALSE
Georgia,Carroll County,Jo Jorgensen,LIB,760,FALSE
Georgia,Carroll County, Write-ins,WRI,0,FALSE
Georgia,Catoosa County,Donald Trump,REP,25167,TRUE
Georgia,Catoosa County,Joe Biden,DEM,6932,FALSE
Georgia,Catoosa County,Jo Jorgensen,LIB,494,FALSE
Georgia,Catoosa County, Write-ins,WRI,0,FALSE
Georgia,Charlton County,Donald Trump,REP,3419,TRUE
Georgia,Charlton County,Joe Biden,DEM,1105,FALSE
Georgia,Charlton County,Jo Jorgensen,LIB,44,FALSE
Georgia,Charlton County, Write-ins,WRI,0,FALSE
Georgia,Chatham County,Joe Biden,DEM,78247,TRUE
Georgia,Chatham County,Donald Trump,REP,53232,FALSE
Georgia,Chatham County,Jo Jorgensen,LIB,1929,FALSE
Georgia,Chatham County, Write-ins,WRI,0,FALSE
Georgia,Chattahoochee County,Donald Trump,REP,880,TRUE
Georgia,Chattahoochee County,Joe Biden,DEM,667,FALSE
Georgia,Chattahoochee County,Jo Jorgensen,LIB,35,FALSE
Georgia,Chattahoochee County, Write-ins,WRI,0,FALSE
Georgia,Chattooga County,Donald Trump,REP,8064,TRUE
Georgia,Chattooga County,Joe Biden,DEM,1854,FALSE
Georgia,Chattooga County,Jo Jorgensen,LIB,132,FALSE
Georgia,Chattooga County, Write-ins,WRI,0,FALSE
Georgia,Cherokee County,Donald Trump,REP,99585,TRUE
Georgia,Cherokee County,Joe Biden,DEM,42779,FALSE
Georgia,Cherokee County,Jo Jorgensen,LIB,2451,FALSE
Georgia,Cherokee County, Write-ins,WRI,0,FALSE
Georgia,Clarke County,Joe Biden,DEM,36055,TRUE
Georgia,Clarke County,Donald Trump,REP,14450,FALSE
Georgia,Clarke County,Jo Jorgensen,LIB,841,FALSE
Georgia,Clarke County, Write-ins,WRI,0,FALSE
Georgia,Clay County,Joe Biden,DEM,791,TRUE
Georgia,Clay County,Donald Trump,REP,637,FALSE
Georgia,Clay County,Jo Jorgensen,LIB,7,FALSE
Georgia,Clay County, Write-ins,WRI,0,FALSE
Georgia,Clayton County,Joe Biden,DEM,95466,TRUE
Georgia,Clayton County,Donald Trump,REP,15811,FALSE
Georgia,Clayton County,Jo Jorgensen,LIB,1053,FALSE
Georgia,Clayton County, Write-ins,WRI,0,FALSE
Georgia,Clinch County,Donald Trump,REP,2105,TRUE
Georgia,Clinch County,Joe Biden,DEM,744,FALSE
Georgia,Clinch County,Jo Jorgensen,LIB,12,FALSE
Georgia,Clinch County, Write-ins,WRI,0,FALSE
Georgia,Cobb County,Joe Biden,DEM,221847,TRUE
Georgia,Cobb County,Donald Trump,REP,165436,FALSE
Georgia,Cobb County,Jo Jorgensen,LIB,6445,FALSE
Georgia,Cobb County, Write-ins,WRI,0,FALSE
Georgia,Coffee County,Donald Trump,REP,10578,TRUE
Georgia,Coffee County,Joe Biden,DEM,4511,FALSE
Georgia,Coffee County,Jo Jorgensen,LIB,125,FALSE
Georgia,Coffee County, Write-ins,WRI,0,FALSE
Georgia,Colquitt County,Donald Trump,REP,11777,TRUE
Georgia,Colquitt County,Joe Biden,DEM,4190,FALSE
Georgia,Colquitt County,Jo Jorgensen,LIB,119,FALSE
Georgia,Colquitt County, Write-ins,WRI,0,FALSE
Georgia,Columbia County,Donald Trump,REP,50013,TRUE
Georgia,Columbia County,Joe Biden,DEM,29232,FALSE
Georgia,Columbia County,Jo Jorgensen,LIB,1330,FALSE
Georgia,Columbia County, Write-ins,WRI,0,FALSE
Georgia,Cook County,Donald Trump,REP,4900,TRUE
Georgia,Cook County,Joe Biden,DEM,2059,FALSE
Georgia,Cook County,Jo Jorgensen,LIB,76,FALSE
Georgia,Cook County, Write-ins,WRI,0,FALSE
Georgia,Coweta County,Donald Trump,REP,51501,TRUE
Georgia,Coweta County,Joe Biden,DEM,24210,FALSE
Georgia,Coweta County,Jo Jorgensen,LIB,1088,FALSE
Georgia,Coweta County, Write-ins,WRI,0,FALSE
Georgia,Crawford County,Donald Trump,REP,4428,TRUE
Georgia,Crawford County,Joe Biden,DEM,1615,FALSE
Georgia,Crawford County,Jo Jorgensen,LIB,59,FALSE
Georgia,Crawford County, Write-ins,WRI,0,FALSE
Georgia,Crisp County,Donald Trump,REP,4985,TRUE
Georgia,Crisp County,Joe Biden,DEM,2982,FALSE
Georgia,Crisp County,Jo Jorgensen,LIB,66,FALSE
Georgia,Crisp County, Write-ins,WRI,0,FALSE
Georgia,Dade County,Donald Trump,REP,6066,TRUE
Georgia,Dade County,Joe Biden,DEM,1261,FALSE
Georgia,Dade County,Jo Jorgensen,LIB,107,FALSE
Georgia,Dade County, Write-ins,WRI,0,FALSE
Georgia,Dawson County,Donald Trump,REP,13398,TRUE
Georgia,Dawson County,Joe Biden,DEM,2486,FALSE
Georgia,Dawson County,Jo Jorgensen,LIB,197,FALSE
Georgia,Dawson County, Write-ins,WRI,0,FALSE
Georgia,Decatur County,Donald Trump,REP,6755,TRUE
Georgia,Decatur County,Joe Biden,DEM,4782,FALSE
Georgia,Decatur County,Jo Jorgensen,LIB,88,FALSE
Georgia,Decatur County, Write-ins,WRI,0,FALSE
Georgia,DeKalb County,Joe Biden,DEM,308162,TRUE
Georgia,DeKalb County,Donald Trump,REP,58377,FALSE
Georgia,DeKalb County,Jo Jorgensen,LIB,4207,FALSE
Georgia,DeKalb County, Write-ins,WRI,0,FALSE
Georgia,Dodge County,Donald Trump,REP,5843,TRUE
Georgia,Dodge County,Joe Biden,DEM,2172,FALSE
Georgia,Dodge County,Jo Jorgensen,LIB,56,FALSE
Georgia,Dodge County, Write-ins,WRI,0,FALSE
Georgia,Dooly County,Donald Trump,REP,2159,TRUE
Georgia,Dooly County,Joe Biden,DEM,1911,FALSE
Georgia,Dooly County,Jo Jorgensen,LIB,35,FALSE
Georgia,Dooly County, Write-ins,WRI,0,FALSE
Georgia,Dougherty County,Joe Biden,DEM,24568,TRUE
Georgia,Dougherty County,Donald Trump,REP,10441,FALSE
Georgia,Dougherty County,Jo Jorgensen,LIB,278,FALSE
Georgia,Dougherty County, Write-ins,WRI,0,FALSE
Georgia,Douglas County,Joe Biden,DEM,42814,TRUE
Georgia,Douglas County,Donald Trump,REP,25454,FALSE
Georgia,Douglas County,Jo Jorgensen,LIB,838,FALSE
Georgia,Douglas County, Write-ins,WRI,0,FALSE
Georgia,Early County,Donald Trump,REP,2710,TRUE
Georgia,Early County,Joe Biden,DEM,2450,FALSE
Georgia,Early County,Jo Jorgensen,LIB,28,FALSE
Georgia,Early County, Write-ins,WRI,0,FALSE
Georgia,Echols County,Donald Trump,REP,1256,TRUE
Georgia,Echols County,Joe Biden,DEM,167,FALSE
Georgia,Echols County,Jo Jorgensen,LIB,18,FALSE
Georgia,Echols County, Write-ins,WRI,0,FALSE
Georgia,Effingham County,Donald Trump,REP,23361,TRUE
Georgia,Effingham County,Joe Biden,DEM,7718,FALSE
Georgia,Effingham County,Jo Jorgensen,LIB,492,FALSE
Georgia,Effingham County, Write-ins,WRI,0,FALSE
Georgia,Elbert County,Donald Trump,REP,6226,TRUE
Georgia,Elbert County,Joe Biden,DEM,2879,FALSE
Georgia,Elbert County,Jo Jorgensen,LIB,66,FALSE
Georgia,Elbert County, Write-ins,WRI,0,FALSE
Georgia,Emanuel County,Donald Trump,REP,6553,TRUE
Georgia,Emanuel County,Joe Biden,DEM,2886,FALSE
Georgia,Emanuel County,Jo Jorgensen,LIB,66,FALSE
Georgia,Emanuel County, Write-ins,WRI,0,FALSE
Georgia,Evans County,Donald Trump,REP,2888,TRUE
Georgia,Evans County,Joe Biden,DEM,1324,FALSE
Georgia,Evans County,Jo Jorgensen,LIB,35,FALSE
Georgia,Evans County, Write-ins,WRI,0,FALSE
Georgia,Fannin County,Donald Trump,REP,12169,TRUE
Georgia,Fannin County,Joe Biden,DEM,2570,FALSE
Georgia,Fannin County,Jo Jorgensen,LIB,110,FALSE
Georgia,Fannin County, Write-ins,WRI,0,FALSE
Georgia,Fayette County,Donald Trump,REP,37956,TRUE
Georgia,Fayette County,Joe Biden,DEM,33062,FALSE
Georgia,Fayette County,Jo Jorgensen,LIB,976,FALSE
Georgia,Fayette County, Write-ins,WRI,0,FALSE
Georgia,Floyd County,Donald Trump,REP,28906,TRUE
Georgia,Floyd County,Joe Biden,DEM,11917,FALSE
Georgia,Floyd County,Jo Jorgensen,LIB,518,FALSE
Georgia,Floyd County, Write-ins,WRI,0,FALSE
Georgia,Forsyth County,Donald Trump,REP,85123,TRUE
Georgia,Forsyth County,Joe Biden,DEM,42208,FALSE
Georgia,Forsyth County,Jo Jorgensen,LIB,1980,FALSE
Georgia,Forsyth County, Write-ins,WRI,0,FALSE
Georgia,Franklin County,Donald Trump,REP,9069,TRUE
Georgia,Franklin County,Joe Biden,DEM,1593,FALSE
Georgia,Franklin County,Jo Jorgensen,LIB,103,FALSE
Georgia,Franklin County, Write-ins,WRI,0,FALSE
Georgia,Fulton County,Joe Biden,DEM,380212,TRUE
Georgia,Fulton County,Donald Trump,REP,137247,FALSE
Georgia,Fulton County,Jo Jorgensen,LIB,6320,FALSE
Georgia,Fulton County, Write-ins,WRI,0,FALSE
Georgia,Gilmer County,Donald Trump,REP,13429,TRUE
Georgia,Gilmer County,Joe Biden,DEM,2932,FALSE
Georgia,Gilmer County,Jo Jorgensen,LIB,164,FALSE
Georgia,Gilmer County, Write-ins,WRI,0,FALSE
Georgia,Glascock County,Donald Trump,REP,1402,TRUE
Georgia,Glascock County,Joe Biden,DEM,155,FALSE
Georgia,Glascock County,Jo Jorgensen,LIB,8,FALSE
Georgia,Glascock County, Write-ins,WRI,0,FALSE
Georgia,Glynn County,Donald Trump,REP,25617,TRUE
Georgia,Glynn County,Joe Biden,DEM,15882,FALSE
Georgia,Glynn County,Jo Jorgensen,LIB,489,FALSE
Georgia,Glynn County, Write-ins,WRI,0,FALSE
Georgia,Gordon County,Donald Trump,REP,19405,TRUE
Georgia,Gordon County,Joe Biden,DEM,4384,FALSE
Georgia,Gordon County,Jo Jorgensen,LIB,244,FALSE
Georgia,Gordon County, Write-ins,WRI,0,FALSE
Georgia,Grady County,Donald Trump,REP,7034,TRUE
Georgia,Grady County,Joe Biden,DEM,3619,FALSE
Georgia,Grady County,Jo Jorgensen,LIB,54,FALSE
Georgia,Grady County, Write-ins,WRI,0,FALSE
Georgia,Greene County,Donald Trump,REP,7066,TRUE
Georgia,Greene County,Joe Biden,DEM,4087,FALSE
Georgia,Greene County,Jo Jorgensen,LIB,91,FALSE
Georgia,Greene County, Write-ins,WRI,0,FALSE
Georgia,Gwinnett County,Joe Biden,DEM,241994,TRUE
Georgia,Gwinnett County,Donald Trump,REP,166400,FALSE
Georgia,Gwinnett County,Jo Jorgensen,LIB,5629,FALSE
Georgia,Gwinnett County, Write-ins,WRI,0,FALSE
Georgia,Habersham County,Donald Trump,REP,16637,TRUE
Georgia,Habersham County,Joe Biden,DEM,3562,FALSE
Georgia,Habersham County,Jo Jorgensen,LIB,232,FALSE
Georgia,Habersham County, Write-ins,WRI,0,FALSE
Georgia,Hall County,Donald Trump,REP,64183,TRUE
Georgia,Hall County,Joe Biden,DEM,25033,FALSE
Georgia,Hall County,Jo Jorgensen,LIB,1321,FALSE
Georgia,Hall County, Write-ins,WRI,0,FALSE
Georgia,Hancock County,Joe Biden,DEM,2976,TRUE
Georgia,Hancock County,Donald Trump,REP,1154,FALSE
Georgia,Hancock County,Jo Jorgensen,LIB,23,FALSE
Georgia,Hancock County, Write-ins,WRI,0,FALSE
Georgia,Haralson County,Donald Trump,REP,12330,TRUE
Georgia,Haralson County,Joe Biden,DEM,1791,FALSE
Georgia,Haralson County,Jo Jorgensen,LIB,125,FALSE
Georgia,Haralson County, Write-ins,WRI,0,FALSE
Georgia,Harris County,Donald Trump,REP,14319,TRUE
Georgia,Harris County,Joe Biden,DEM,5457,FALSE
Georgia,Harris County,Jo Jorgensen,LIB,215,FALSE
Georgia,Harris County, Write-ins,WRI,0,FALSE
Georgia,Hart County,Donald Trump,REP,9465,TRUE
Georgia,Hart County,Joe Biden,DEM,3157,FALSE
Georgia,Hart County,Jo Jorgensen,LIB,106,FALSE
Georgia,Hart County, Write-ins,WRI,0,FALSE
Georgia,Heard County,Donald Trump,REP,4519,TRUE
Georgia,Heard County,Joe Biden,DEM,824,FALSE
Georgia,Heard County,Jo Jorgensen,LIB,51,FALSE
Georgia,Heard County, Write-ins,WRI,0,FALSE
Georgia,Henry County,Joe Biden,DEM,73443,TRUE
Georgia,Henry County,Donald Trump,REP,48259,FALSE
Georgia,Henry County,Jo Jorgensen,LIB,1296,FALSE
Georgia,Henry County, Write-ins,WRI,0,FALSE
Georgia,Houston County,Donald Trump,REP,41540,TRUE
Georgia,Houston County,Joe Biden,DEM,32239,FALSE
Georgia,Houston County,Jo Jorgensen,LIB,1059,FALSE
Georgia,Houston County, Write-ins,WRI,0,FALSE
